distcode,distname,schcode,schname,total,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,KF,KG,PF,PK,NATIVE,ASIAN,BLACK,HISPANIC,MULTIRACE,PACIFICISLANDER,WHITE,FEMALE,OTHER,MALE,FRL,LEP,IEP,VOCED
01,Barrington,01103,Primrose Hill School,329,59,77,82,0,0,0,0,0,0,0,0,0,52,0,0,59,,27,,31,29,,235,172,,157,54,,66,
01,Barrington,01104,Nayatt School,356,94,83,86,0,0,0,0,0,0,0,0,0,93,0,0,0,,24,,29,33,,265,191,,165,23,14,38,
01,Barrington,01105,Hampden Meadows School,471,0,0,0,258,213,0,0,0,0,0,0,0,0,0,0,0,,38,,24,36,,365,246,,225,60,11,41,
01,Barrington,01106,Barrington High School,1098,0,0,0,0,0,0,0,0,278,249,256,315,0,0,0,0,,100,18,72,69,,838,543,,555,139,19,123,84
01,Barrington,01108,Barrington Middle School,763,0,0,0,0,0,249,250,264,0,0,0,0,0,0,0,0,,55,15,60,45,,588,372,,391,91,18,89,
01,Barrington,01109,Sowams Elementary School,250,66,62,74,0,0,0,0,0,0,0,0,0,48,0,0,0,,24,,19,18,,187,126,,124,22,,41,
01,Barrington,01190,Barrington Public Schools,27,3,0,5,1,3,1,0,3,3,1,3,4,0,0,0,0,,,,,,,21,,,21,,,27,
03,Burrillville,03101,Burrillville Early Learning Center,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,,,,,,,30,15,,22,14,,19,
03,Burrillville,03104,Burrillville Middle School,469,0,0,0,0,0,164,145,160,0,0,0,0,0,0,0,0,,,,33,15,,409,236,,232,205,,107,
03,Burrillville,03105,Steere Farm Elementary School,268,0,66,64,65,73,0,0,0,0,0,0,0,0,0,0,0,,,,18,,,243,120,,148,95,,56,
03,Burrillville,03107,William L. Callahan School,310,0,74,81,73,82,0,0,0,0,0,0,0,0,0,0,0,,,,23,,,271,145,,165,154,,72,
03,Burrillville,03108,Austin T. Levy School,254,133,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,,,,25,,,213,129,,125,121,,48,
03,Burrillville,03109,Burrillville High School,634,0,0,0,0,0,0,0,0,161,159,163,151,0,0,0,0,,,,33,22,,564,282,,347,236,,103,264
03,Burrillville,03190,Burrillville Public Schools,21,0,1,0,2,0,2,3,0,1,1,0,11,0,0,0,0,,,,,,,19,,,13,,,20,
04,Central Falls,04101,Ella Risk School,414,74,66,67,67,79,0,0,0,0,0,0,0,61,0,0,0,31,,61,204,26,,86,192,,215,373,215,99,
04,Central Falls,04104,Capt. G. Harold Hunt School,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,,,20,130,,,,82,,77,139,,78,
04,Central Falls,04106,Veterans Memorial Elementary,406,69,70,71,70,66,0,0,0,0,0,0,0,60,0,0,0,40,,63,204,14,,83,194,,203,383,241,92,
04,Central Falls,04108,Central Falls Senior High School,788,0,0,0,0,0,0,0,0,175,211,212,190,0,0,0,0,52,,139,406,25,,161,365,,416,748,454,101,243
04,Central Falls,04112,Raices Dual Language Academy at Margaret I. Robert,206,37,42,35,30,27,0,0,0,0,0,0,0,35,0,0,0,16,,14,152,,,20,102,,103,199,139,36,
04,Central Falls,04115,Dr. Earl F. Calcutt Middle School,476,0,0,0,0,0,148,163,165,0,0,0,0,0,0,0,0,35,,98,200,23,,114,223,,248,444,233,78,
04,Central Falls,04118,Raices Upper Dual Language Academy,63,0,0,0,0,0,22,24,17,0,0,0,0,0,0,0,0,,,,50,,,,35,,28,62,37,,
04,Central Falls,04190,Central Falls Schools,45,1,3,2,1,0,1,1,1,4,3,3,22,3,0,0,0,,,10,22,,,10,10,,33,41,15,34,
06,Coventry,06104,Alan Shawn Feinstein Middle School Of Coventry,944,0,0,0,0,0,288,322,334,0,0,0,0,0,0,0,0,,31,13,68,21,,808,448,,496,348,10,151,
06,Coventry,06109,Western Coventry School,298,45,46,55,56,50,0,0,0,0,0,0,0,46,0,0,0,,,,17,10,,268,135,,163,93,,57,
06,Coventry,06112,Hopkins Hill School,323,42,46,69,50,59,0,0,0,0,0,0,0,57,0,0,0,,,,37,16,,258,167,,156,153,,73,
06,Coventry,06116,Tiogue School,328,52,66,47,71,44,0,0,0,0,0,0,0,48,0,0,0,,,,39,25,,253,145,,183,149,,72,
06,Coventry,06117,Blackrock School,322,38,54,51,49,44,0,0,0,0,0,0,0,46,0,40,0,,,,46,19,,243,158,,164,178,,57,
06,Coventry,06119,Coventry High School,1201,0,0,0,0,0,0,0,0,332,290,282,297,0,0,0,0,,23,31,90,34,,1015,586,,615,451,12,197,526
06,Coventry,06121,Washington Oak School,594,72,92,94,65,86,0,0,0,0,0,0,0,86,0,46,53,,10,,45,26,,508,313,,281,152,,118,
06,Coventry,06190,Coventry Public Schools,46,0,2,0,0,2,0,1,1,5,6,7,22,0,0,0,0,,,,,,,39,14,,32,29,,36,
07,Cranston,07103,Oak Lawn School,247,32,51,43,43,39,0,0,0,0,0,0,0,39,0,0,0,,14,,33,14,,184,138,,109,39,,15,
07,Cranston,07104,Cranston Early Learning Center,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,,,,25,,,15,25,,24,16,,26,
07,Cranston,07113,Cranston High School East,1525,0,0,0,0,0,0,0,0,348,387,372,418,0,0,0,0,21,176,111,800,94,,318,724,,798,1127,316,232,168
07,Cranston,07115,Hugh B. Bain Middle School,527,0,0,0,0,0,161,180,186,0,0,0,0,0,0,0,0,13,53,31,331,19,,76,253,,273,465,155,86,
07,Cranston,07116,William R. Dutemple School,254,43,34,49,47,34,0,0,0,0,0,0,0,47,0,0,0,,21,21,128,21,,60,115,,139,179,49,14,
