distcode,distname,total,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,KF,KG,PF,PK,NATIVE,ASIAN,BLACK,HISPANIC,MULTIRACE,PACIFICISLANDER,WHITE,FEMALE,OTHER,MALE,FRL,LEP,IEP,VOCED
1.00,Barrington,"3,294",222,222,247,259,216,250,250,267,281,250,259,319,193,0,0,59,,270,54,238,231,,"2,499","1,656",,"1,638",398,81,425,86
3.00,Burrillville,"1,993",133,141,145,140,155,166,148,160,162,160,163,162,121,0,0,37,,12,33,139,57,,"1,749",935,,"1,052",834,15,425,264
4.00,Central Falls,"2,560",181,181,175,168,172,171,188,183,179,214,215,212,159,0,162,0,182,16,406,"1,368",96,,488,"1,203",34,"1,323","2,389","1,334",524,247
6.00,Coventry,"4,056",249,306,316,291,285,288,323,335,337,296,289,319,283,0,86,53,19,80,62,347,152,,"3,392","1,966",,"2,090","1,553",34,761,530
7.00,Cranston,"10,037",599,658,712,744,707,785,771,801,770,852,874,969,630,0,65,100,75,835,491,"3,711",624,29,"4,272","4,937",10,"5,090","5,550","1,201","1,608",1129
8.00,Cumberland,"4,881",386,372,373,379,356,369,376,382,402,367,314,376,320,0,6,103,,332,204,727,237,,"3,379","2,329",,"2,552","1,305",293,810,202
9.00,East Greenwich,"2,490",156,202,194,205,184,183,209,208,182,216,169,185,163,0,0,34,,223,38,190,130,,"1,904","1,219",,"1,271",299,45,325,95
10.00,East Providence,"5,225",355,389,380,323,353,347,382,396,449,431,476,388,345,0,152,59,40,91,622,903,530,,"3,037","2,520",,"2,705","2,800",308,"1,076",550
12.00,Foster,241,41,28,32,37,42,0,0,0,0,0,0,0,43,0,0,18,,,,,,,229,119,,122,61,,40,
13.00,Glocester,563,84,76,101,91,111,0,0,0,0,0,0,0,95,0,0,5,,,,28,21,,509,258,,305,127,,86,
15.00,Jamestown,406,34,31,46,42,42,51,53,46,1,1,0,3,32,0,0,24,,,,,17,,373,177,,229,42,,65,
16.00,Johnston,"3,191",268,230,229,254,233,256,254,219,221,223,204,216,231,0,0,153,12,112,230,"1,067",89,,"1,678","1,504",,"1,687","1,785",323,746,27
17.00,Lincoln,"3,278",205,224,248,260,269,250,261,268,256,232,244,256,193,0,0,112,,148,206,404,124,19,"2,372","1,578",,"1,700","1,127",102,626,147
18.00,Little Compton,218,28,16,19,27,23,22,20,28,0,0,1,0,21,0,0,13,,,11,10,,,196,108,,110,40,,43,
19.00,Middletown,"1,860",131,152,154,126,140,141,139,158,125,148,119,153,138,0,0,36,16,75,106,356,158,,"1,146",873,,987,670,171,393,130
20.00,Narragansett,977,57,43,58,59,65,57,66,77,86,91,95,108,33,0,82,0,,17,,51,71,,826,462,,515,263,,161,117
21.00,Newport,"1,795",137,137,117,129,146,113,132,119,152,153,151,167,110,0,0,32,43,17,172,751,232,,576,825,,970,"1,327",371,431,239
22.00,New Shoreham,126,1,13,15,8,13,9,6,12,11,9,13,11,5,0,0,0,,,,37,,,84,66,,60,50,14,26,
23.00,North Kingstown,"3,786",268,261,261,259,280,285,256,279,332,306,322,351,239,0,0,87,19,89,93,317,229,,"3,037","1,836",,"1,950",998,77,593,337
24.00,North Providence,"3,488",276,230,266,255,250,255,272,261,266,292,289,287,207,0,17,65,11,136,510,986,226,,"1,612","1,673",,"1,815","1,849",422,665,265
25.00,North Smithfield,"1,637",129,100,130,102,124,123,136,124,124,138,136,149,79,0,0,43,,34,32,191,81,,"1,298",779,,858,416,49,268,64
26.00,Pawtucket,"7,816",585,569,642,581,607,643,646,645,393,490,525,607,548,0,225,110,56,74,"2,302","3,041",494,26,"1,823","3,366",746,"3,704","5,963","1,843","1,619",487
27.00,Portsmouth,"2,134",150,154,141,136,142,153,155,158,216,182,206,193,125,0,0,23,,50,37,182,128,,"1,728","1,026",,"1,102",433,42,363,238
28.00,Providence,"20,250","1,452","1,398","1,501","1,391","1,483","1,451","1,370","1,408","1,547","1,696","1,872","1,780","1,338",0,178,385,183,696,"2,947","13,835",816,61,"1,712","9,480",48,"10,722","16,842","8,186","3,882",1041
30.00,Scituate,"1,194",81,86,87,94,102,84,83,95,99,99,86,106,79,0,0,13,,,,35,12,,"1,137",568,,626,281,,205,140
31.00,Smithfield,"2,361",162,195,188,183,175,161,153,190,180,155,187,215,158,0,59,0,,40,40,233,116,,"1,929","1,111",,"1,250",474,29,380,80
32.00,South Kingstown,"2,253",124,172,163,151,172,200,168,188,167,186,174,190,140,0,33,25,52,48,42,167,142,,"1,802","1,080",,"1,172",637,47,344,185
33.00,Tiverton,"1,520",96,109,121,113,125,112,129,144,96,105,103,142,95,0,0,30,,17,23,108,70,,"1,296",724,,796,523,15,301,124
35.00,Warwick,"7,853",573,573,588,626,589,585,604,607,567,591,600,592,534,0,0,224,39,305,283,"1,311",521,,"5,387","3,754",,"4,099","3,743",277,"1,618",298
36.00,Westerly,"2,139",139,143,168,147,158,155,168,167,169,172,178,162,126,0,0,87,18,55,31,211,170,,"1,651","1,053",,"1,086",937,68,418,215
38.00,West Warwick,"3,469",258,243,316,232,242,240,239,260,262,277,271,306,232,0,0,91,32,65,194,789,211,,"2,174","1,634",,"1,830","2,090",174,898,277
39.00,Woonsocket,"5,541",395,442,431,420,460,396,351,362,475,448,405,485,392,0,0,79,33,217,709,"1,635",388,18,"2,541","2,644",,"2,897","3,752","1,118","1,569",381
40.00,Davies Career and Tech,898,0,0,0,0,0,0,0,0,234,229,222,213,0,0,0,0,,10,162,393,50,,281,403,,493,529,71,77,412
41.00,Achievement First Rhode Island,"3,209",369,373,374,370,284,203,201,216,152,159,81,68,359,0,0,0,15,48,557,"2,379",93,,113,"1,654",,"1,555","2,643","1,049",317,
42.00,Sheila Skip Nowell Leadership Academy,187,0,0,0,0,0,0,0,0,54,44,36,53,0,0,0,0,,,29,126,,,21,122,,64,186,73,16,18
43.00,SouthSide Charter School,136,26,26,25,25,12,0,0,0,0,0,0,0,22,0,0,0,,,44,82,,,,58,,78,110,39,18,
46.00,Segue Institute for Learning,414,40,40,39,39,40,41,42,38,55,0,0,0,40,0,0,0,,,22,374,,,17,204,,210,382,178,47,
47.00,"Blackstone Valley Prep, A RI Mayoral Academy","2,253",228,232,222,219,202,181,170,155,121,96,97,99,231,0,0,0,33,85,742,,,20,"1,373","1,138",,"1,113","1,779",414,416,
48.00,Highlander,617,34,36,37,35,36,36,57,69,44,61,66,50,32,0,24,0,19,,161,316,13,,102,316,,300,532,188,102,
49.00,Urban Collaborative,145,0,0,0,0,0,0,66,79,0,0,0,0,0,0,0,0,,,30,95,,,,87,,58,145,30,20,
50.00,R.I. Sch for the Deaf,77,7,3,5,8,6,5,4,4,4,4,11,7,2,0,7,0,,,11,36,,,22,32,,45,57,17,72,
51.00,Paul Cuffee Charter Sch,792,60,60,59,60,60,63,63,63,62,62,63,58,59,0,0,0,,11,146,572,31,,24,413,,379,700,186,98,
52.00,Kingston Hill Academy,260,46,46,46,43,34,0,0,0,0,0,0,0,45,0,0,0,,11,,25,18,,197,126,,134,49,,48,
53.00,International Charter,377,65,65,62,61,58,0,0,0,0,0,0,0,66,0,0,0,,,52,251,15,,56,201,,176,250,124,35,
54.00,Blackstone Academy,357,0,0,0,0,0,0,0,0,86,88,91,92,0,0,0,0,,,72,229,23,,26,177,,180,290,81,60,
55.00,The Compass School,217,19,20,21,20,30,29,30,30,0,0,0,0,18,0,0,0,,,,17,10,,185,100,,116,39,,43,
58.00,Beacon Charter School,363,0,0,0,0,0,51,56,51,57,51,52,45,0,0,0,0,,,27,121,39,,171,203,,160,247,24,67,
59.00,Learning Community,572,66,64,64,63,62,66,66,60,0,0,0,0,61,0,0,0,,,80,462,,,23,279,,293,513,257,96,
60.00,MET Career and Tech,817,0,0,0,0,0,0,0,0,189,186,217,225,0,0,0,0,,14,143,452,,,194,438,,376,587,127,119,586
61.00,Trinity Academy for the Performing Arts,234,0,0,0,0,30,0,39,38,29,36,34,28,0,0,0,0,,,34,179,,,,130,,101,190,82,37,
62.00,The Greene School,190,0,0,0,0,0,0,0,0,50,51,50,39,0,0,0,0,,,22,47,,,117,93,,97,87,,39,
63.00,Rhode Island Nurses Institute Middle College,462,0,0,0,0,0,0,0,0,157,99,105,101,0,0,0,0,,,101,309,20,,19,426,,36,389,121,32,364
64.00,Village Green Virtual,203,0,0,0,0,0,0,0,0,46,51,52,54,0,0,0,0,,,52,124,14,,10,110,,93,200,27,39,
68.00,The Hope Academy,322,36,36,36,36,36,36,35,35,0,0,0,0,36,0,0,0,,,57,230,,,21,167,,155,260,89,60,
69.00,Nuestro Mundo Public Charter,292,46,46,47,48,0,24,21,19,0,0,0,0,41,0,0,0,,,,259,,,21,164,,128,249,137,18,
79.00,RISE Prep Academies,635,92,56,61,58,60,60,51,49,62,0,0,0,86,0,0,0,,35,43,217,93,,242,301,,334,435,66,107,
81.00,Charette Charter,168,0,0,0,0,0,0,0,0,46,42,37,43,0,0,0,0,,,54,109,,,,81,,87,148,41,16,
83.00,Providence Preparatory Charter,244,0,0,0,0,46,70,65,63,0,0,0,0,0,0,0,0,,,66,154,,,14,110,,134,243,52,27,
84.00,Excel Academy Rhode Island,313,0,0,0,0,90,110,113,0,0,0,0,0,0,0,0,0,,,59,229,,,11,155,,158,250,72,21,
85.00,YouthBuild Preparatory Academy,116,0,0,0,0,0,0,0,0,19,41,39,17,0,0,0,0,,,36,75,,,,48,,68,92,19,20,
96.00,Bristol Warren,"2,693",188,211,202,185,205,216,220,212,205,199,217,207,167,0,2,57,,24,42,225,182,,"2,216","1,285",10,"1,398","1,087",66,525,221
97.00,Exeter-West Greenwich,"1,544",111,90,100,111,111,112,134,123,137,112,109,105,105,0,46,38,,27,23,110,48,,"1,330",736,,808,347,17,200,81
98.00,Chariho,"2,966",190,190,232,174,221,203,206,227,261,281,263,238,183,0,0,97,41,10,21,133,129,,"2,628","1,442",,"1,524",917,22,519,602
99.00,Foster-Glocester,"1,273",0,0,0,0,0,129,137,133,218,211,200,245,0,0,0,0,,,11,70,46,,"1,137",630,,641,314,,135,459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State,"135,978","9,578","9,690","10,196","9,787","10,044","9,936","10,084","10,211","10,795","10,883","10,982","11,396","8,960",0,"1,144","2,292","1,025","4,391","12,818","41,785","7,273",255,"68,431","65,292",881,"69,805","73,804","20,352","25,140","10,675"
